T2024_04_09__174121_493,user,41,18,6,0.000,0.000,0.000,0
T2024_04_09__174131_524,user,41,18,6,0.000,0.000,0.000,0
T2024_04_09__174141_620,user,41,18,6,0.000,0.000,0.000,0
T2024_04_09__174151_720,user,41,18,6,0.000,0.000,0.000,0
T2024_04_09__174201_820,user,41,18,6,0.000,0.000,0.000,0
T2024_04_09__174211_923,user,41,18,6,0.000,0.000,0.000,0
T2024_04_09__174222_020,user,41,18,6,0.000,0.000,0.000,0
T2024_04_09__174228_579,user,41,129,5,na,na,na,3,na,27,0,na,na,na
T2024_04_09__174229_080,user,41,129,5,na,na,na,3,na,110,0,na,na,na
T2024_04_09__174232_021,user,41,18,6,0.000,0.000,0.000,0
T2024_04_09__174234_237,user,41,129,5,-3.077,0.000,0.000,2,na,27,0,na,na,na
T2024_04_09__174234_362,user,41,129,5,na,na,na,3,na,110,0,na,na,na
T2024_04_09__174234_487,user,41,129,5,-3.042,0.000,0.000,2,na,28,0,na,na,na
T2024_04_09__174234_738,user,41,129,5,-3.047,0.000,0.000,2,na,27,0,na,na,na
T2024_04_09__174234_988,user,41,129,5,-3.044,0.000,0.000,2,na,28,0,na,na,na
T2024_04_09__174235_830,user,41,129,5,na,na,na,3,na,234,0,na,na,na
T2024_04_09__174236_544,user,41,129,5,na,na,na,3,na,234,0,na,na,na
T2024_04_09__174237_536,user,41,129,5,-3.047,0.000,0.000,2,na,27,0,na,na,na
T2024_04_09__174237_786,user,41,129,5,-3.053,0.000,0.000,2,na,28,0,na,na,na
T2024_04_09__174238_036,user,41,129,5,-3.053,0.000,0.000,2,na,28,0,na,na,na
T2024_04_09__174238_287,user,41,129,5,-3.066,0.000,0.000,2,na,27,0,na,na,na
T2024_04_09__174238_537,user,41,129,5,-3.039,0.000,0.000,2,na,28,0,na,na,na
T2024_04_09__174238_788,user,41,129,5,-3.039,0.000,0.000,2,na,27,0,na,na,na
T2024_04_09__174239_038,user,41,129,5,-3.047,0.000,0.000,2,na,28,0,na,na,na
T2024_04_09__174239_289,user,41,129,5,-3.039,0.000,0.000,2,na,27,0,na,na,na
T2024_04_09__174239_539,user,41,129,5,na,na,na,3,na,110,0,na,na,na
T2024_04_09__174239_664,user,41,129,5,na,na,na,3,na,110,0,na,na,na
T2024_04_09__174239_789,user,41,129,5,na,na,na,3,na,110,0,na,na,na
T2024_04_09__174240_040,user,41,129,5,na,na,na,3,na,28,0,na,na,na
T2024_04_09__174240_290,user,41,129,5,na,na,na,3,na,28,0,na,na,na
T2024_04_09__174240_541,user,41,129,5,na,na,na,3,na,27,0,na,na,na
T2024_04_09__174240_791,user,41,129,5,na,na,na,3,na,28,0,na,na,na
T2024_04_09__174241_042,user,41,129,5,na,na,na,3,na,626,0,na,na,na
T2024_04_09__174241_798,user,41,129,5,na,na,na,3,na,27,0,na,na,na
T2024_04_09__174242_048,user,41,129,5,na,na,na,3,na,28,0,na,na,na
T2024_04_09__174242_120,user,41,18,3,-2.149,1.844,0.000,0
T2024_04_09__174242_120,user,41,18,6,0.000,0.000,0.000,0
T2024_04_09__174242_299,user,41,129,5,na,na,na,3,na,109,0,na,na,na
T2024_04_09__174242_549,user,41,129,5,na,na,na,3,na,28,0,na,na,na
T2024_04_09__174242_799,user,41,129,5,na,na,na,3,na,28,0,na,na,na
T2024_04_09__174243_050,user,41,129,5,na,na,na,3,na,28,0,na,na,na
T2024_04_09__174243_300,user,41,129,5,na,na,na,3,na,28,0,na,na,na
T2024_04_09__174243_551,user,41,129,5,na,na,na,3,na,27,0,na,na,na
T2024_04_09__174243_801,user,41,129,5,na,na,na,3,na,28,0,na,na,na
T2024_04_09__174244_052,user,41,129,5,na,na,na,3,na,27,0,na,na,na
T2024_04_09__174244_302,user,41,129,5,na,na,na,3,na,28,0,na,na,na
T2024_04_09__174244_552,user,41,129,5,na,na,na,3,na,28,0,na,na,na
T2024_04_09__174247_406,user,41,129,5,na,na,na,3,na,274,0,na,na,na
T2024_04_09__174247_923,user,41,129,5,na,na,na,3,na,234,0,na,na,na
T2024_04_09__174248_525,user,41,129,5,na,na,na,3,na,108,0,na,na,na
T2024_04_09__174249_013,user,41,129,5,na,na,na,3,na,623,0,na,na,na
T2024_04_09__174251_406,user,41,129,5,na,na,na,3,na,110,0,na,na,na
T2024_04_09__174252_162,user,41,129,5,na,na,na,3,na,53,0,na,na,na
T2024_04_09__174252_413,user,41,129,5,na,na,na,3,na,52,0,na,na,na
T2024_04_09__174252_663,user,41,129,5,na,na,na,3,na,53,0,na,na,na
T2024_04_09__174252_914,user,41,129,5,na,na,na,3,na,52,0,na,na,na
T2024_04_09__174253_164,user,41,129,5,na,na,na,3,na,53,0,na,na,na
T2024_04_09__174253_414,user,41,129,5,na,na,na,3,na,53,0,na,na,na
T2024_04_09__174253_665,user,41,129,5,na,na,na,3,na,53,0,na,na,na
